plate,well,mixture1,mixture2,mixture3,mixture4,mixture5,mixture6
plate1,C1,500,,,,,
plate1,C2,,500,,,,
plate1,D1,,,500,,,
plate1,D2,,,,100,,
plate2,C1,,,,,500,
plate2,C2,,,,,,500
plate2,D1,,,,250,,250
plate2,D2,300,,300,,300,
plate3,C1,,250,,250,,250
plate3,C2,100,,100,,800,
plate3,D1,,1000,,,,
plate3,D2,,,1000,,,
plate4,C1,,,,1000,,
plate4,C2,,,,,1000,
plate4,D1,,,,,,1000
plate4,D2,500,500,,,,
plate5,C1,500,,500,,,
plate5,C2,500,,,500,,
plate5,D1,500,,,,500,
plate5,D2,500,,,,,500
plate6,C1,,500,500,,,
plate6,C2,,500,,500,,
plate6,D1,,500,,,500,
plate6,D2,,500,,,,500
